No,accessions,strain,anastomosis_group(AG),host_common,host_scientific,host_groups,host_group_summarized,host_solanaceae,country,state_province,collection_date,year,continent,region,Manuscript
52,MK734392,AG1-IA,AG1,Marandu grass ,Urochloa brizantha,Poaceae,Poaceae,Non_solanaceae,Brazil,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
53,MK734396,AG1-IA,AG1,signalgrass,Urochloa brizantha,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
54,MK734397,AG1-IA,AG1,signalgrass,Urochloa brizantha,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
55,MK734394,AG1-IA,AG1,signalgrass,Urochloa brizantha,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
56,MK734395,AG1-IA,AG1,signalgrass,Urochloa brizantha,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
57,MK734398,AG1-IA,AG1,signalgrass,Urochloa brizantha,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
58,MK749442,BHM3_B19_AG-1 IA,AG1,signalgrass,Urochloa hybrida,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-Mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
59,MK749440,BHM4_A13_AG-1 IA,AG1,signalgrass,Urochloa hybrida,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-Mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
60,MK749439,BHM4_C31_AG-1 IA,AG1,signalgrass,Urochloa hybrida,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-Mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
61,MK749443,BHM3_B18_AG-1 IA,AG1,signalgrass,Urochloa hybrida,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-Mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
62,MK749441,BHM3_B29_AG-1 IA,AG1,signalgrass,Urochloa hybrida,Poaceae,Poaceae,Non_solanaceae,Colombia,,NA,2013,South America,Latin America & Caribbean,"Chavarro-Mesa et al., 2020 (https://doi.org/10.1111/ppa.13142)"
63,MK583626,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,16-Apr,2016,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
64,MK583627,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,16-Apr,2016,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
65,MK583643,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,17-Mar,2017,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
66,MK583639,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,17-Feb,2017,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
67,MK583645,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,17-Apr,2017,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
