No,accessions,strain,strain_summarized,anastomosis_group.AG.,host,host_common,host_scientific,host_families,host_group_summarized,country,state_province,collection_date,year,continent,region,Latitude,Longitude,manuscript
1504,MN070233,NA,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1505,MN070234,NA,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
1506,MN070235,NA,AG3-PT,AG-3,Potato,Potato,Solanum tuberosum,Solanaceae,Solanaceae,Algeria,,NA,NA,Africa,Middle East & North Africa,-8.78,34.51,"Bouchek et al., 2017 (Conference paper:  20 th European Association Potato Research (EAPR) Conference, 9-14 jully,At: Palais des Congrès, Versailles (France)"
66,KY884015,NA,AG1-IA,AG-1,Rice,Rice,Oryza sativa,Poaceae,Poaceae,Egypt,,2015,2015,Africa,Middle East & North Africa,-8.78,34.51,"El-Shafey et al., 2019 (DOI:10.1080/03235408.2019.1650544)"
1426,MT523021,AG-3,AG3,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,Mauritius,,NA,2019,Africa,Sub-Saharan Africa,-8.78,34.51,"Takooree et al., 2020 (https://doi.org/10.1094/PDIS-06-20-1183-PDN)"
702,HQ898678,MIAE00189,AG2-1,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,Morocco,NA,NA,2007,Africa,Middle East & North Africa,-8.78,34.51,"Fiers et al., 2011 (DOI: 10.3852/10-231)"
743,ON427945,RS4,AG2-2,AG-2,Beta vulgaris,Beta vulgaris,Beta vulgaris,Amaranthaceae,Amaranthaceae,Morocco,,2021,2021,Africa,Middle East & North Africa,-8.78,34.51,"Farhaoui et al., 2023 (https://doi.org/10.1016/j.pmpp.2023.101966)"
1321,HQ898744,MIAE00217,AG3,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,Morocco,NA,NA,2007,Africa,Middle East & North Africa,-8.78,34.51,"Fiers et al., 2011 (DOI: 10.3852/10-231)"
1322,HQ898745,MIAE00284,AG3,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,Morocco,NA,NA,2007,Africa,Middle East & North Africa,-8.78,34.51,"Fiers et al., 2011 (DOI: 10.3852/10-231)"
1123,MK024251,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,NA,Africa,Sub-Saharan Africa,-8.78,34.51,"Gush et al., 2019 (https://doi.org/10.1094/PDIS-10-18-1850-PDN)"
